Speaker,Start (min),End (min),Duration (s),Start (s)
speaker0,0:00.009,0:45.008,44.999,0.009
speaker0,0:45.508,1:13.575,28.067,45.508
speaker0,1:14.508,1:15.008,0.500,74.508
speaker0,1:15.008,1:15.508,0.500,75.008
speaker0,1:15.508,1:30.008,14.500,75.508
speaker0,1:30.008,1:30.508,0.500,90.008
speaker1,1:30.508,2:24.141,54,90.508
speaker1,2:26.508,2:39.508,13.000,146.508
speaker0,2:39.508,2:54.008,14.500,159.508
speaker1,2:54.008,2:59.508,5.500,174.008
speaker0,2:59.508,3:05.508,6.000,179.508
speaker1,3:05.508,3:06.008,0.500,185.508
speaker0,3:06.008,3:52.541,46.533,186.008
speaker1,3:52.542,3:53.009,0.467,232.542
speaker0,3:52.592,3:52.642,0.050,232.592
speaker0,3:52.842,3:52.875,0.033,232.842
speaker0,3:53.008,3:58.508,5.500,233.008
speaker1,3:58.508,4:36.008,37.500,238.508
speaker0,4:36.008,4:57.008,21.000,276.008
speaker1,4:57.008,4:59.508,2.500,297.008
speaker0,4:59.508,5:09.625,10.117,299.508
speaker0,5:10.142,5:15.941,5.799,310.142
speaker0,5:16.008,5:16.508,0.500,316.008
speaker1,5:16.508,5:18.008,1.500,316.508
speaker0,5:18.008,5:18.508,0.500,318.008
speaker1,5:18.508,5:28.008,9.500,318.508
speaker1,5:28.508,5:31.758,3.250,328.508
speaker0,5:30.708,5:30.958,0.250,330.708
speaker0,5:31.742,5:31.809,0.067,331.742
speaker1,5:31.808,5:32.008,0.200,331.808
speaker0,5:32.008,5:35.008,3.000,332.008
speaker1,5:35.008,5:36.708,1.700,335.008
speaker1,5:37.008,5:37.508,0.500,337.008
speaker0,5:37.508,5:48.508,11.000,337.508
speaker1,5:48.508,5:48.891,0.383,348.508
speaker0,5:48.742,5:50.008,1.266,348.742
speaker1,5:50.008,5:51.008,1.000,350.008
speaker0,5:51.008,6:04.775,13.767,351.008
speaker1,6:04.775,6:17.508,12.733,364.775
speaker0,6:17.508,6:22.008,4.500,377.508
speaker0,6:22.508,6:50.891,28.383,382.508
speaker0,6:51.008,6:52.508,1.500,411.008
speaker1,6:52.508,6:54.725,2.217,412.508
